,1850-NUSVR--nu=0.05-C=0.1,1850-NUSVR--nu=0.1-C=0.1,1850-NUSVR--nu=0.15-C=0.1,1850-NUSVR--nu=0.25-C=0.1,1850-NUSVR--nu=0.5-C=0.1,1850-NUSVR--nu=0.75-C=0.1,1850-NUSVR--nu=0.05-C=0.5,1850-NUSVR--nu=0.1-C=0.5,1850-NUSVR--nu=0.15-C=0.5,1850-NUSVR--nu=0.25-C=0.5,1850-NUSVR--nu=0.5-C=0.5,1850-NUSVR--nu=0.75-C=0.5,1850-NUSVR--nu=0.05-C=0.75,1850-NUSVR--nu=0.1-C=0.75,1850-NUSVR--nu=0.15-C=0.75,1850-NUSVR--nu=0.25-C=0.75,1850-NUSVR--nu=0.5-C=0.75,1850-NUSVR--nu=0.75-C=0.75,1850-NUSVR--nu=0.05-C=1,1850-NUSVR--nu=0.1-C=1,1850-NUSVR--nu=0.15-C=1,1850-NUSVR--nu=0.25-C=1,1850-NUSVR--nu=0.5-C=1,1850-NUSVR--nu=0.75-C=1,1850-NUSVR--nu=0.05-C=10,1850-NUSVR--nu=0.1-C=10,1850-NUSVR--nu=0.15-C=10,1850-NUSVR--nu=0.25-C=10,1850-NUSVR--nu=0.5-C=10,1850-NUSVR--nu=0.75-C=10
0,ABCD3,AASDH,AASDH,A2M,A2M,A1CF,ABCD3,AASDH,AASDH,A2M,A2M,A1CF,ABCD3,AASDH,AASDH,A2M,A2M,A1CF,ABCD3,AASDH,AASDH,A2M,A2M,A1CF,ABCD3,AASDH,AASDH,A2M,A2M,A1CF
1,ABL2,ABCA2,ABCA2,AASDH,AAMP,A2M,ABL2,ABCA2,ABCA2,AASDH,AAMP,A2M,ABL2,ABCA2,ABCA2,AASDH,AAMP,A2M,ABL2,ABCA2,ABCA2,AASDH,AAMP,A2M,ABL2,ABCA2,ABCA2,AASDH,AAMP,A2M
2,ABLIM3,ABCB1,ABCB1,ABCA2,AARS,A4GALT,ABLIM3,ABCB1,ABCB1,ABCA2,AARS,A4GALT,ABLIM3,ABCB1,ABCB1,ABCA2,AARS,A4GALT,ABLIM3,ABCB1,ABCB1,ABCA2,AARS,A4GALT,ABLIM3,ABCB1,ABCB1,ABCA2,AARS,A4GALT
3,ACPP,ABCD3,ABCD3,ABCA5,AARSD1,A4GNT,ACPP,ABCD3,ABCD3,ABCA5,AARSD1,A4GNT,ACPP,ABCD3,ABCD3,ABCA5,AARSD1,A4GNT,ACPP,ABCD3,ABCD3,ABCA5,AARSD1,A4GNT,ACPP,ABCD3,ABCD3,ABCA5,AARSD1,A4GNT
4,ACRBP,ABCG1,ABCG1,ABCB1,AASDH,AACS,ACRBP,ABCG1,ABCG1,ABCB1,AASDH,AACS,ACRBP,ABCG1,ABCG1,ABCB1,AASDH,AACS,ACRBP,ABCG1,ABCG1,ABCB1,AASDH,AACS,ACRBP,ABCG1,ABCG1,ABCB1,AASDH,AACS
5,ACTN1,ABHD3,ABHD17A,ABCD3,AASS,AAK1,ACTN1,ABHD3,ABHD17A,ABCD3,AASS,AAK1,ACTN1,ABHD3,ABHD17A,ABCD3,AASS,AAK1,ACTN1,ABHD3,ABHD17A,ABCD3,AASS,AAK1,ACTN1,ABHD3,ABHD17A,ABCD3,AASS,AAK1
6,ACTN4,ABL2,ABHD3,ABCG1,AATF,AAMDC,ACTN4,ABL2,ABHD3,ABCG1,AATF,AAMDC,ACTN4,ABL2,ABHD3,ABCG1,AATF,AAMDC,ACTN4,ABL2,ABHD3,ABCG1,AATF,AAMDC,ACTN4,ABL2,ABHD3,ABCG1,AATF,AAMDC
7,ADAM28,ABLIM1,ABL2,ABHD17A,ABCA2,AAMP,ADAM28,ABLIM1,ABL2,ABHD17A,ABCA2,AAMP,ADAM28,ABLIM1,ABL2,ABHD17A,ABCA2,AAMP,ADAM28,ABLIM1,ABL2,ABHD17A,ABCA2,AAMP,ADAM28,ABLIM1,ABL2,ABHD17A,ABCA2,AAMP
8,ADGRG6,ABLIM3,ABLIM1,ABHD3,ABCA3,AAR2,ADGRG6,ABLIM3,ABLIM1,ABHD3,ABCA3,AAR2,ADGRG6,ABLIM3,ABLIM1,ABHD3,ABCA3,AAR2,ADGRG6,ABLIM3,ABLIM1,ABHD3,ABCA3,AAR2,ADGRG6,ABLIM3,ABLIM1,ABHD3,ABCA3,AAR2
9,ADGRL4,ABTB1,ABLIM3,ABI3,ABCA4,AARS,ADGRL4,ABTB1,ABLIM3,ABI3,ABCA4,AARS,ADGRL4,ABTB1,ABLIM3,ABI3,ABCA4,AARS,ADGRL4,ABTB1,ABLIM3,ABI3,ABCA4,AARS,ADGRL4,ABTB1,ABLIM3,ABI3,ABCA4,AARS
10,ADIPOR1,ACLY,ABTB1,ABL2,ABCA5,AARSD1,ADIPOR1,ACLY,ABTB1,ABL2,ABCA5,AARSD1,ADIPOR1,ACLY,ABTB1,ABL2,ABCA5,AARSD1,ADIPOR1,ACLY,ABTB1,ABL2,ABCA5,AARSD1,ADIPOR1,ACLY,ABTB1,ABL2,ABCA5,AARSD1
11,AGER,ACPP,AC009506.1,ABLIM1,ABCA6,AASDH,AGER,ACPP,AC009506.1,ABLIM1,ABCA6,AASDH,AGER,ACPP,AC009506.1,ABLIM1,ABCA6,AASDH,AGER,ACPP,AC009506.1,ABLIM1,ABCA6,AASDH,AGER,ACPP,AC009506.1,ABLIM1,ABCA6,AASDH
12,AKNA,ACRBP,ACLY,ABLIM3,ABCB1,AASDHPPT,AKNA,ACRBP,ACLY,ABLIM3,ABCB1,AASDHPPT,AKIRIN2,ACRBP,ACLY,ABLIM3,ABCB1,AASDHPPT,AKNA,ACRBP,ACLY,ABLIM3,ABCB1,AASDHPPT,AKNA,ACRBP,ACLY,ABLIM3,ABCB1,AASDHPPT
