,adventitial cell,cardiac muscle cell,cell of skeletal muscle,fibroblast/mesenchymal stem cell,melanocyte,mesothelial cell,pancreatic stellate cell,pericyte cell,schwann cell,smooth muscle cell,stromal cell,tendon cell,acinar cell of salivary gland/myoepithelial cell,basal cell,basal cell of prostate epithelium,bladder urothelial cell,ciliated cell/lung ciliated cell,ciliated epithelial cell/epithelial cell of uterus,club cell/type i pneumocyte,club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,duct epithelial cell/serous cell of epithelium of bronchus,duodenum glandular cell,enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,goblet cell,hepatocyte,immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,intestinal tuft cell,intrahepatic cholangiocyte,ionocyte/luminal epithelial cell of mammary gland,keratinocyte,kidney epithelial cell,luminal cell of prostate epithelium,medullary thymic epithelial cell,mucus secreting cell/secretory cell/tracheal goblet cell,pancreatic acinar cell,pancreatic alpha cell/pancreatic beta cell,pancreatic delta cell,pancreatic ductal cell,pancreatic pp cell,pulmonary ionocyte,respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,salivary gland cell,type ii pneumocyte,b cell,basophil,erythrocyte/erythroid progenitor,hematopoietic stem cell,innate lymphoid cell,macrophage,mast cell,mature conventional dendritic cell,monocyte,myeloid progenitor,neutrophil,nk cell,plasma cell,plasmablast,platelet,t cell,thymocyte,endothelial cell,r,rmse
1854-NUSVR--nu=0.05-C=0.1,0.011116025193452318,-0.007664709312083134,0.02404879014828966,-0.03005283170803378,-0.016534852512401117,-0.004692526913951679,-0.0062295235773191454,-0.016724014346153115,0.00566985222114578,-0.022565340994186583,-0.00795291604840669,0.005140726710991911,-0.008822518071494305,0.006556222349492064,0.005995860331352312,-0.019264216166491068,0.013880395181474395,-0.016551720596317415,-0.00331349469607891,-0.0034907695946216934,0.015930597598415714,-0.038283123146328236,-8.723501736643963e-06,0.007153751681951849,0.001983662550292752,-0.03659815386854746,0.018160433740213117,0.013387613754784353,-0.0017509488706258436,0.007278386410198866,-0.003931032309649429,0.02465070904957978,-0.011668220919496597,-0.0015953603127750043,-0.0023509847137560443,-0.0124168923122468,0.00810490602761793,-0.014423482443803533,0.004210620705422627,-0.008321046694832919,-0.009701484018416584,-0.027310056634375458,0.003868728560761265,0.0023056313878106445,0.037416845591672035,0.03119385655151672,0.597158578383278,-0.021093415777085206,-0.04716060548603755,0.026981564437218185,-0.03213105537951147,0.022721476588244836,0.09282712308477614,0.024729328347635762,0.023622297615568544,0.016530571705396426,-0.000760162263496253,-0.0011403903083733705,0.14544660255808745,0.01970565809967328,0.028006791046413425,0.03362105595315701,0.6763938774209534,0.7450018484425666
1854-NUSVR--nu=0.1-C=0.1,0.02409420778001021,-0.010852195105710784,0.025653194854367904,-0.048548885658356376,-0.010565142875285358,-0.006301269976918487,0.013357725791589541,-0.0009098392218119273,0.006311024673596297,-0.024774987019369782,-0.01775052073126607,-0.0020508886996912,-0.015133864362597584,0.007419466579986232,0.002203534380319172,-0.0142415521317497,0.01176736003201645,-0.013492434199234665,0.000848130663711838,-0.004116377772395196,0.023548933528291502,-0.03785626383706544,0.0005256999234162785,0.005029009388284003,-0.004357680505689556,-0.020920012740802053,0.0116807426029175,0.013281691510681287,0.006502773928638316,0.011522029482108627,-0.0048081856792101954,0.01987011919349702,-0.007006467502882383,-0.002814864333518817,-0.0004433544344701109,-0.0039272085748417234,0.0033103596251235603,-0.008137585136287546,-0.0038366226419226787,-0.0053403415526066395,-0.00801024730274038,-0.031180280953567542,0.012005691013266158,-0.00014188625266218211,0.04037393715197453,0.03575115389416498,0.6023059288585136,-0.019097004810647994,-0.0077804487722816645,0.030755441335709503,-0.05271560706889303,0.015324930739683933,0.09417698437098936,0.010450817783436556,0.03537592815356906,0.0364081543920425,-0.007692045388370606,-0.003533096694609487,0.15254419647633052,-0.0015919702205757953,0.016447578272799152,0.030421480964083123,0.6782796588148878,0.7442012479698399
1854-NUSVR--nu=0.15-C=0.1,0.01768869760339885,-0.007115536017946151,0.027350935743603068,-0.037984085995848495,-0.009071914736852402,-0.014463648741774741,0.013756919127967414,7.484073753248957e-05,0.007726371294671474,-0.02143150647038807,-0.022324874535913877,-0.0004943072544769883,-0.02036783295470785,0.010530763902478067,0.0015370776502927896,-0.014061794520295025,0.010890574316615172,-0.01592201296622473,-0.002638179191769988,-0.003669100152431236,0.009637434844612519,-0.028480395767430507,0.002125853050795566,0.0035061892604364812,-0.010480716885884155,-0.021049436300636968,0.010082519967510353,0.014487893259872566,0.011084103888386217,0.018298963208296062,-0.00793094807827449,0.018858188523268947,-0.005154709832050482,0.010918843744963585,-0.001267771344185301,0.003700448043785715,-0.0005672774554415197,-0.005138041749581826,-0.00932287796813046,-0.00463601062144528,-0.013025288234867557,-0.014675142195403244,0.009723166078138168,0.001648808765178175,0.03366473982175394,0.02811809131851773,0.6040423823021819,-0.004162054024411638,0.015943094776615447,0.026334372079495204,-0.07281738731198081,0.018456442724030412,0.1065392225443414,0.010171130915517697,0.03997799311340714,0.044755328786111964,-0.00942240738012937,-0.004049209306637831,0.15535075457274866,-0.0014593714926445563,0.013879263478014953,0.03371716823959886,0.6765823250446387,0.7463198914236252
1854-NUSVR--nu=0.25-C=0.1,0.014486435476594606,-0.003939593467855245,0.029957429826015652,-0.030064594082632116,-0.0042548081454838425,-0.012045200614491575,0.012946353233586417,-0.011917337576951584,0.006080296027862846,-0.013659931935561883,-0.021411842241402343,-8.194322599867476e-05,-0.021191449239017196,0.011665590887024988,0.001531688027870081,-0.015571021885825154,0.009524547281974716,-0.02007739948542809,-0.005662839489905067,0.0059129339955027345,0.014147331593246854,-0.03103446348461618,0.00814063262624293,-0.0035643837797752244,-0.011463776172544859,-0.02153183896765317,0.003644405850632397,0.016327173997278992,0.010602407249347585,0.01180230888050983,-0.007202669761185961,0.01660728854068024,-0.003195500022274765,0.012276557407943913,-0.00636481290552045,0.003748523244478095,-0.00013954125634720342,-0.002618410235071036,-0.009404881536317123,-0.001532781719941284,-0.01192786272273096,-0.008933089146302562,0.013591405644847681,0.0031618634024590127,0.05282264667804143,0.0230497341685021,0.6094390131331391,0.007092289659167711,0.008718062725932386,0.015538979593519226,-0.07841726186467565,0.03695316409837031,0.10801391262983398,0.007893002587212365,0.04247826506918398,0.05001321560387099,-0.014567666574116874,-0.0029103004550923043,0.15839369151894406,0.0019423079395653083,0.01855713417442361,0.04644457752256197,0.6741889680617108,0.7498340019805553
1854-NUSVR--nu=0.5-C=0.1,0.012668853570301916,-0.0015243255961140626,0.024523133167373416,-0.022296368210121435,-0.008724633651859295,-0.003435959225189485,-0.002227683487218801,-0.010090750425854899,0.00787662089310362,-0.009247322828593755,-0.013597266484190233,0.0006055883002900123,-0.014142062029396524,0.008487162550408118,0.0027810905173542323,-0.012546164161912138,0.0066472316936274315,-0.025460579776648104,-0.004593487916192879,0.003738573825847335,0.027540814278449555,-0.037689497722938156,0.0077860594078429275,-0.006731153974922514,-0.005855393083053804,-0.019300132904177987,0.00199652525630892,0.024930972196176744,0.010472757463827627,0.015979958792956616,-0.003287004179537004,0.008924708931619318,-0.0012558380874712815,0.0044877299313778145,-0.0035633795423855503,0.007912132268892239,0.002398036431815626,-0.0055378964077360815,-0.012411955173229336,-0.0008831636788097195,-0.006415315986761417,-0.015752639194677155,0.006850450805153594,0.002482076298317886,0.07513907542497561,0.014936569199927655,0.6092022410809568,0.013886614208017178,0.005954394801509727,0.005533849388623593,-0.06842981283749443,0.04442596554612169,0.10622786806379968,0.012250487339537548,0.05481211302592595,0.0599063277504524,-0.021808300710615815,-0.0019034640872860695,0.16339751813646922,-0.0003188438265764454,0.02336811829247768,0.05792018676493074,0.6718391285097639,0.7527703191474496
1854-NUSVR--nu=0.75-C=0.1,0.01542722806497912,-0.0005675930690666516,0.019600442411429712,-0.02104129051445539,-0.010092983465992213,-0.0054246423453920565,-0.011141897428455665,-0.0013068565766613492,0.005629467695937279,-0.01114713386440589,-0.011122972695512726,0.001352147817528137,-0.011614893323394184,0.009330430808944058,0.0016955464207662717,-0.013951572423538706,0.004671843252215308,-0.022974605565915514,-0.001624307078361642,0.005599671355312669,0.03074630133836394,-0.040436659746244275,0.002685874418231874,-0.0007534701092551319,-0.003035311375013113,-0.013579284177492929,0.002419526319442083,0.02779811310138223,0.007389904188496407,0.013971238529504812,-0.0033776337688793947,0.007222780289805497,-0.0004719032804457223,0.0034247401257511884,-0.0007115158065396906,0.005621086317299593,0.001560542939121322,-0.002607746602462338,-0.008201073576931336,-0.0011911732413149197,-0.005857257183149018,-0.02505403983555137,0.002791428691473537,0.0008234272191505678,0.09565580434692035,0.01464855362447455,0.608569143862801,0.01336116305554045,0.004588370370779334,-0.003421677100305941,-0.06994815940148638,0.04875085828683323,0.11120834697819153,0.02732607501749943,0.0542601295355995,0.06047196667204039,-0.028711198230316745,0.00018412265453954333,0.16321884519246666,-0.0016297086025363478,0.02808705812839276,0.06510804588628659,0.6661354648611385,0.7568917494080096
1854-NUSVR--nu=0.05-C=0.5,0.011048025537966251,-0.0076486409462409,0.024002155053949297,-0.029721883720730792,-0.016502016072900805,-0.003849097934862482,-0.006349155918694078,-0.016739773152066158,0.005595127544527942,-0.02250470360378436,-0.00802833375386218,0.005117459755597194,-0.008826006285978181,0.006560999100553566,0.0060956702482603126,-0.019258108977228527,0.013991992561791733,-0.016560814393469535,-0.0031257514026942837,-0.004245174662518461,0.01855581979608664,-0.0391825217751057,-0.00017117215071078828,0.007520892440363584,0.0019376583170638102,-0.036468168429103144,0.018293076178058774,0.01339474348791067,-0.0015882520453820437,0.007024539137879315,-0.003946585476642034,0.024637905866766244,-0.011674208234872273,-0.001768311242045656,-0.0018512590157021731,-0.014062637876289703,0.008135197090079017,-0.014455822941578426,0.004251520670433093,-0.008396135744611455,-0.009656157975079516,-0.032889143177661354,0.003963798648149655,0.002201136171655577,0.03763471372423695,0.031174761781688654,0.6085144643524445,-0.020983657874015266,-0.046928376074072076,0.027061783885172747,-0.03212919629991397,0.022605987290624643,0.09262400934442874,0.024542628255997977,0.023630716846613567,0.016328827037325695,-0.0008459047534500903,-0.0012060296917529127,0.14544535981944917,0.01967654006780406,0.027935130179062156,0.033563284743064185,0.6769492123645215,0.7443642349713196
1854-NUSVR--nu=0.1-C=0.5,0.025518748591005155,-0.010821375307406775,0.025827112036420907,-0.05008650345900331,-0.010606749601836676,-0.006218562378486128,0.013883493059366238,-0.0015779878561128675,0.006416590132137509,-0.024634843331639997,-0.017014324360291835,-0.0028914804392981483,-0.015099011969364987,0.007336874004684298,0.0021877142535279143,-0.014074119307628342,0.011514482488047761,-0.012931758027649204,0.0009185067824873314,-0.003653829886943835,0.02382689396499308,-0.037935849007737346,0.0009268548941919058,0.004398369173402441,-0.00469119505729812,-0.021341911577419402,0.011601828733583723,0.01327094122234787,0.006834338116150071,0.011523672806485419,-0.005160596310246332,0.020485973518647727,-0.007016602796665106,-0.002752760048546077,0.0003484142802262641,-0.003594686615648125,0.0032838375429369787,-0.008109435564845016,-0.0042931195175231335,-0.005302289767377399,-0.007967690890231416,-0.03148740154584603,0.011618078816227069,-0.00017794096365239195,0.04084248322783149,0.037535225663462346,0.6092097779812589,-0.018505294936915037,-0.009486976431495264,0.029025626876997973,-0.05316634199161814,0.015040456331403787,0.0945411641788128,0.009494156151524664,0.035709613171865495,0.036294282033813796,-0.007632390145685222,-0.003441015587535191,0.15253337900285774,-0.0011519883799136765,0.01652234914996678,0.030379273431024707,0.6784267486103922,0.7439549219101692
1854-NUSVR--nu=0.15-C=0.5,0.020600538400603514,-0.006981502522171092,0.026934219811637544,-0.04113659386482011,-0.010719834258787558,-0.015536655970835783,0.014833749814395614,3.234826411086314e-05,0.008078232939362925,-0.02101836349082742,-0.020087908409699998,-0.002518977806930448,-0.020449825907063568,0.010419652079433775,0.0017464212184173517,-0.01395080911887845,0.011188498900242871,-0.016415295855756767,-0.003008715115043241,-0.0043533460808650865,0.009266633504623086,-0.028580358232095614,0.0026223288994281224,0.0031268770883544975,-0.011603531388312223,-0.020841585995673567,0.010221956189053524,0.014710181211847348,0.011979887716380977,0.01931278125234681,-0.007836743521156264,0.018964938462827707,-0.005163683009965607,0.012431156704229288,-0.0010074061762763327,0.00534487779458976,-0.0005114798593541178,-0.0050149609968543705,-0.010318281945188156,-0.0046981299399992404,-0.0140983303829952,-0.013986174007360776,0.008974094059332638,0.001860984391081873,0.03388540876583934,0.03285645361469895,0.6091193292288926,-0.004530288212846099,0.01581624983416506,0.0234919628217864,-0.074498478192,0.017907297860885615,0.10751045164910432,0.01016278742907721,0.04046595090874429,0.04585071743233869,-0.009474387042261825,-0.00407897569380556,0.1553507701988402,-0.0016656379833629442,0.014182227912982598,0.033438513407070714,0.6757945391721453,0.7471917926374063
1854-NUSVR--nu=0.25-C=0.5,0.015027860282311734,-0.0039397328866763726,0.03052943648810892,-0.030684012105450534,-0.004513213580144893,-0.01198710758640291,0.013308089192696507,-0.011813048249172314,0.006201553048843511,-0.013687807022330474,-0.02143221787669833,-0.00044208665637290867,-0.021804553893454044,0.011688710718285986,0.0015904214371463554,-0.015679219724893393,0.009503851921799727,-0.01993175529645802,-0.005775283961490019,0.005833313472474351,0.01523451529826831,-0.0316864398366727,0.00820817459193228,-0.0036909335760203187,-0.011444389655803494,-0.021834149082864185,0.0037679711043415443,0.01639436680799379,0.01060442761597255,0.011933271743855611,-0.007189948437577427,0.016614558323071585,-0.0031918874143369892,0.01224019839781243,-0.0060941612838477655,0.003748454050780878,-0.00013296906541895165,-0.002626654632807264,-0.009416768868893054,-0.0015947449639920341,-0.011864215822169177,-0.009683457000520347,0.013635361218562986,0.003221328401192474,0.05291015852402492,0.023293465059102944,0.6094297320652816,0.006901767370913359,0.00852501854404586,0.015418913539561173,-0.07875838037669981,0.03694953564486683,0.10851480006634259,0.00790570127936227,0.04230514150674332,0.049824618593170444,-0.014547237036442232,-0.002915667017847255,0.1585162866584531,0.0020772087295917174,0.0186099975352823,0.04641747562758475,0.6738983353257149,0.7501777309137174
