,clusters
acinar cell of salivary gland/myoepithelial cell,0
basal cell,1
basal cell of prostate epithelium,2
bladder urothelial cell,3
ciliated cell/lung ciliated cell,4
ciliated epithelial cell/epithelial cell of uterus,5
club cell/type i pneumocyte,6
club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,7
duct epithelial cell/serous cell of epithelium of bronchus,8
duodenum glandular cell,9
enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,10
goblet cell,11
hepatocyte,12
immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,13
intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,14
intestinal tuft cell,15
intrahepatic cholangiocyte,16
ionocyte/luminal epithelial cell of mammary gland,17
keratinocyte,18
kidney epithelial cell,19
luminal cell of prostate epithelium,20
medullary thymic epithelial cell,21
mucus secreting cell/secretory cell/tracheal goblet cell,22
pancreatic acinar cell,23
pancreatic alpha cell/pancreatic beta cell,24
pancreatic delta cell,25
pancreatic ductal cell,26
pancreatic pp cell,27
pulmonary ionocyte,28
respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,29
salivary gland cell,30
type ii pneumocyte,31
