,3264-NUSVR--nu=0.05-C=0.1,3264-NUSVR--nu=0.1-C=0.1,3264-NUSVR--nu=0.15-C=0.1,3264-NUSVR--nu=0.25-C=0.1,3264-NUSVR--nu=0.5-C=0.1,3264-NUSVR--nu=0.75-C=0.1,3264-NUSVR--nu=0.05-C=0.5,3264-NUSVR--nu=0.1-C=0.5,3264-NUSVR--nu=0.15-C=0.5,3264-NUSVR--nu=0.25-C=0.5,3264-NUSVR--nu=0.5-C=0.5,3264-NUSVR--nu=0.75-C=0.5,3264-NUSVR--nu=0.05-C=0.75,3264-NUSVR--nu=0.1-C=0.75,3264-NUSVR--nu=0.15-C=0.75,3264-NUSVR--nu=0.25-C=0.75,3264-NUSVR--nu=0.5-C=0.75,3264-NUSVR--nu=0.75-C=0.75,3264-NUSVR--nu=0.05-C=1,3264-NUSVR--nu=0.1-C=1,3264-NUSVR--nu=0.15-C=1,3264-NUSVR--nu=0.25-C=1,3264-NUSVR--nu=0.5-C=1,3264-NUSVR--nu=0.75-C=1,3264-NUSVR--nu=0.05-C=10,3264-NUSVR--nu=0.1-C=10,3264-NUSVR--nu=0.15-C=10,3264-NUSVR--nu=0.25-C=10,3264-NUSVR--nu=0.5-C=10,3264-NUSVR--nu=0.75-C=10
0,ABLIM3,ABCA5,A2M,A2M,A2M,A1CF,ABLIM3,ABCA5,A2M,A2M,A2M,A1CF,ABLIM3,ABCA5,A2M,A2M,A2M,A1CF,ABLIM3,ABCA5,A2M,A2M,A2M,A1CF,ABLIM3,ABCA5,A2M,A2M,A2M,A1CF
1,ACPP,ABCC3,AASDH,AASDH,AAK1,A2M,ACPP,ABCC3,AASDH,AASDH,AAK1,A2M,ACPP,ABCC3,AASDH,AASDH,AAK1,A2M,ACPP,ABCC3,AASDH,AASDH,AAK1,A2M,ACPP,ABCC3,AASDH,AASDH,AAK1,A2M
2,ACRBP,ABHD6,ABCA5,AATF,AAMDC,A2ML1,ACRBP,ABHD6,ABCA5,AATF,AAMDC,A2ML1,ACRBP,ABHD6,ABCA5,AATF,AAMDC,A2ML1,ACRBP,ABHD6,ABCA5,AATF,AAMDC,A2ML1,ACRBP,ABHD6,ABCA5,AATF,AAMDC,A2ML1
3,ACTN1,ABLIM1,ABCB1,ABCA1,AAR2,AACS,ACTN1,ABLIM1,ABCB1,ABCA1,AAR2,AACS,ACTN1,ABLIM1,ABCB1,ABCA1,AAR2,AACS,ACTN1,ABLIM1,ABCB1,ABCA1,AAR2,AACS,ACTN1,ABLIM1,ABCB1,ABCA5,AAR2,AACS
4,ACTN4,ABLIM3,ABCC3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABCC3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABCC3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABCC3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABCC3,ABCB1,AARS2,AAK1
5,ADGRL4,ACPP,ABCD4,ABCB1,AARSD1,AAMDC,ADGRL4,ACPP,ABCD4,ABCB1,AARSD1,AAMDC,ADGRL4,ACPP,ABCD4,ABCB1,AARSD1,AAMDC,ADGRL4,ACPP,ABCD4,ABCB1,AARSD1,AAMDC,ADGRL4,ACPP,ABCD4,ABCB8,AARSD1,AAMDC
6,ADIPOR1,ACRBP,ABHD3,ABCB8,AASDH,AAMP,ADIPOR1,ACRBP,ABHD3,ABCB8,AASDH,AAMP,ADIPOR1,ACRBP,ABHD3,ABCB8,AASDH,AAMP,ADIPOR1,ACRBP,ABHD3,ABCB8,AASDH,AAMP,ADIPOR1,ACRBP,ABHD3,ABCB9,AASDH,AAMP
7,AGPAT5,ACTN1,ABHD6,ABCB9,AASS,AAR2,AGPAT5,ACTN1,ABHD6,ABCB9,AASS,AAR2,AGPAT5,ACTN1,ABHD6,ABCB9,AASS,AAR2,AGPAT5,ACTN1,ABHD6,ABCB9,AASS,AAR2,AGPAT5,ACTN1,ABHD6,ABCC1,AASS,AAR2
8,AGTRAP,ACTN4,ABL1,ABCC1,AATF,AARS,AGTRAP,ACTN4,ABL1,ABCC1,AATF,AARS,AGTRAP,ACTN4,ABL1,ABCC1,AATF,AARS,AGTRAP,ACTN4,ABL1,ABCC1,AATF,AARS,AGTRAP,ACTN4,ABL1,ABCC3,AATF,AARS
9,AKAP13,ACTR2,ABLIM1,ABCC3,AATK,AARS2,AKAP13,ACTR2,ABLIM1,ABCC3,AATK,AARS2,AKAP13,ACTR2,ABLIM1,ABCC3,AATK,AARS2,AKAP13,ACTR2,ABLIM1,ABCC3,AATK,AARS2,AKAP13,ACTR2,ABLIM1,ABCC4,AATK,AARS2
