,adventitial cell,cardiac muscle cell,cell of skeletal muscle,fibroblast/mesenchymal stem cell,melanocyte,mesothelial cell,pancreatic stellate cell,pericyte cell,schwann cell,smooth muscle cell,stromal cell,tendon cell,acinar cell of salivary gland/myoepithelial cell,basal cell,basal cell of prostate epithelium,bladder urothelial cell,ciliated cell/lung ciliated cell,ciliated epithelial cell/epithelial cell of uterus,club cell/type i pneumocyte,club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,duct epithelial cell/serous cell of epithelium of bronchus,duodenum glandular cell,enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,goblet cell,hepatocyte,immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,intestinal tuft cell,intrahepatic cholangiocyte,ionocyte/luminal epithelial cell of mammary gland,keratinocyte,kidney epithelial cell,luminal cell of prostate epithelium,medullary thymic epithelial cell,mucus secreting cell/secretory cell/tracheal goblet cell,pancreatic acinar cell,pancreatic alpha cell/pancreatic beta cell,pancreatic delta cell,pancreatic ductal cell,pancreatic pp cell,pulmonary ionocyte,respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,salivary gland cell,type ii pneumocyte,b cell,basophil,erythrocyte/erythroid progenitor,hematopoietic stem cell,innate lymphoid cell,macrophage,mast cell,mature conventional dendritic cell,monocyte,myeloid progenitor,neutrophil,nk cell,plasma cell,plasmablast,platelet,t cell,thymocyte,endothelial cell,r,rmse
3350-NNLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034352511347206135,0.0027577506641115555,0.0,0.0,0.0,0.0,0.0,0.036774193353264616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7591542747696651,0.0,0.0,0.0,0.0,0.025808988053832426,0.011304858677817588,0.0,0.04842622748501826,0.06017159980870875,0.0,0.0,0.3641823251802665,0.0,0.0,0.023211691217659144,0.8688080840554433,0.5404581736040298
3350-QP,1.828113141161794e-08,1.6508033927627277e-08,2.147406316080366e-08,2.1137383950264107e-08,2.6679331437173798e-08,1.7022548313346347e-08,1.6821610213399606e-08,2.371637412478e-08,4.291572121030283e-08,2.082724580677656e-08,1.7801952755863774e-08,2.217646996221784e-08,1.5113939904714014e-08,1.933756319498038e-08,2.206136462643888e-08,2.0047650358958878e-08,1.9882058915473568e-08,1.9907396853498295e-08,1.7203871750171433e-08,2.192649333400523e-08,1.6342717170829296e-08,1.5603832924929523e-08,1.8617536730275384e-08,1.6454567330270972e-08,1.767012900260443e-08,1.748305452635695e-08,2.4195273883979916e-08,4.6768463900204346e-08,2.8434044836679292e-08,2.556370740058261e-08,1.5178323395237338e-08,2.8966777294708526e-08,1.5458494476761597e-08,1.5623640071197562e-08,1.7600463232733563e-08,1.517346305663777e-08,1.4632355909197528e-08,1.4929827398838748e-08,2.143206575762828e-08,1.6120136432263814e-08,1.825947398235255e-08,1.5926193175898427e-08,3.15504086367938e-08,1.5088507963064284e-08,4.2827054128188194e-08,5.4548516974593865e-08,0.6697010148968888,2.5554812093649868e-08,2.9004639652012986e-08,4.973880643079722e-08,3.138857280901501e-08,6.874682645160463e-08,0.0060708772076616966,2.4378142206969583e-08,0.0001160881095212616,0.02303510852895227,1.5190155972838144e-08,1.5133437765391178e-08,0.30107525369201066,3.9478096976626826e-08,3.5329328701021385e-08,3.2233091159281657e-07,0.8613411934531213,0.5225735713621019
3350-NUSVR--nu=0.05-C=0.1,0.020425122102861393,-0.010956277084499949,0.016385720044903795,-0.043013255799304526,-0.012203240365871365,0.0008142691795594778,0.0006494945355685795,-0.0015812936656756649,0.004559644563992715,-0.02719605523252777,-0.004683666312720549,0.0031346860662221435,-0.006058395453083152,0.004198210459932794,-0.002397327906221325,-0.0066214715906426115,0.011507035235622576,-0.015184674737888149,-0.007776872530693334,4.8908541597919575e-05,-0.0036551850836488813,-0.016549734780529214,0.007982844451514745,-0.00577346792025929,-0.003236450962307527,-0.021738526875643566,0.009086444770711022,0.008192763022017255,0.00550115527988046,0.008654015764891665,-0.0017177203692369959,0.009797078928811723,-0.00984235919122256,0.0022327281680575503,0.008216854691991474,0.0013503656571635589,-0.003040340618961194,-0.01157099580557841,-0.0006942069947300789,-0.003632664690678397,-0.008619381038740825,-0.0068659982037833495,0.0013618124758726369,0.005807273213627516,0.040418876548273905,-0.0011955780371354502,0.7505213943251479,-0.020406201220262585,-0.05159619210349829,0.004218454285753119,-0.016074436959997884,0.008475193741287492,0.06968204934374018,-0.00167289479923044,0.019400715893870733,0.03854956776642285,-0.014401141533736079,0.005453966519982348,0.27121618165193073,0.013084294391394816,0.010335297619630123,0.023543477415063543,0.8556324350942196,0.5718789215759559
3350-NUSVR--nu=0.1-C=0.1,0.019656560707997955,-0.007364219714750072,0.016350822712087095,-0.03414988155976079,-0.005757855451960371,-0.001870388707013774,0.005698993652331977,-0.007463846604349996,0.0021757496364819967,-0.01771213615063757,-0.00847364063088532,-0.0006328390411017952,-0.0134868942358075,0.008796976627093007,-0.0017452616878642696,-0.010319892559249744,0.008562239091824006,-0.010181053404371091,0.0003391014099167061,-0.0025251711189985754,0.0033711594831374835,-0.009560927629877333,0.015269795506176602,-0.012961396059283264,-0.010247035213448588,-0.01593506178019264,0.0040444141464830476,0.010153511288835116,0.007667594717551311,0.002703178385644609,-0.005925700415846464,0.008169414764238131,-0.005893135846036039,-0.0009762311522652297,0.011722161887167206,-0.003203490077499982,-0.001458354912970004,-0.005817590992577666,-0.0035099842229594502,-0.0015192593622266777,-0.010244369414397193,-0.010284404373543806,0.0039928830142056775,0.000802171140241433,0.029468176256320307,0.00931086008201519,0.7546907279829931,-0.01798156480483895,-0.015040721581820774,-0.0013823970071167382,-0.03458427921494393,0.01312722314786934,0.06476702894806105,-0.010435445747986829,0.02447889583784585,0.04829477462024406,-0.011618159834319287,0.002280871625656689,0.2885903060717543,0.00334082345269867,0.008571195429326044,0.02607169548342495,0.8582137425731795,0.5696260068500031
3350-NUSVR--nu=0.15-C=0.1,0.01597328783093245,-0.004113282682347168,0.012362037815664749,-0.027059986498108535,-0.007441901484708954,-0.0030700837600945016,0.006881182937701031,-0.0018987871499443019,0.002442231356706598,-0.015320262751348339,-0.008803598904866176,-0.0015725773908564292,-0.00947537607040568,0.008004834296780419,-0.0022485173985581043,-0.009119167355408242,0.006306405368329043,-0.008887024543041164,-0.002446582061644347,-0.0002516234851116282,-0.003831648212208761,-0.006670860335766009,0.014017500248956807,-0.01099145957844665,-0.010901806877866727,-0.012000639947972624,0.0036874457995871306,0.00980976075763398,0.007231317650864066,0.003988652474715823,-0.005396816783770022,0.003013004177547733,-0.004149449467842389,0.0023501306297284384,0.006141101898547041,-0.0009432827430052235,-0.0007620561944793347,-0.0036049976613084086,-0.0034495364487441456,-0.0015205345034598437,-0.0126686199360481,-1.8328988242449426e-05,0.0031040061807572315,0.002291649884563163,0.02668293788445895,0.016023432828804612,0.7563585633258444,-0.017178884924201412,-0.009727317693181659,-0.005847358852263779,-0.045669472372720926,0.014615732955800648,0.06617761619834221,-0.013513308508803328,0.030973533075057992,0.05447785222151516,-0.009598988876372233,0.0011584318793514134,0.30438867200997605,9.270835308806263e-05,0.008559495003092634,0.025671971491139617,0.8598610428832696,0.5671542002110015
3350-NUSVR--nu=0.25-C=0.1,0.014456563507784476,-0.0030905770522564185,0.012602330270201904,-0.023281754409221807,-0.007134658614673377,-0.006519608043918372,0.009785475503822194,-0.008572301858678147,0.003628169384664204,-0.011011313944230692,-0.009589293202945798,-0.0043996919225609415,-0.006940222916872917,0.00928054938134093,-0.000595764483925787,-0.01256583092510559,0.005462894859477298,-0.011400371951050963,-0.0015102812224875896,0.004057356904470455,-0.010905607105772003,-0.004852648153514324,0.010503600407302457,-0.007882964377367373,-0.008334308193074572,-0.00987693716763536,0.0015449928752193504,0.011705851371322407,0.006169665851994535,0.002852715208259138,-0.006057539034141524,0.0012830171410889019,-0.002682791623339967,0.007825851554553644,0.0014129066962652315,0.00017011698373983232,-0.00035210015333628046,-0.0020359251973715714,-0.0032531885690819523,-0.0010009098332194842,-0.010971911473032184,0.004997459086026109,0.005298916757085666,0.001641423756783506,0.025964496938396756,0.009391778485861486,0.7577721651329243,-0.011318138398247354,-0.006911791096633126,-0.007146852012088811,-0.05208082822971993,0.0145013790560213,0.07282371898554459,-0.012768456210467127,0.03579733562080006,0.06254581804635526,-0.004549513451002094,-0.0011729913303993268,0.30965256080090603,-0.0012219772157031766,0.012916696436477918,0.032048216070290264,0.8588364208001146,0.5720722786775189
3350-NUSVR--nu=0.5-C=0.1,0.010984415370360223,-0.0021269908348708396,0.013051354346719383,-0.018289910928798093,-0.009260042657782776,-0.0014112711076686459,0.004330044798325805,-0.0014375718715040134,0.004008690226658663,-0.0127414405834614,-0.00881406825570641,-0.0011434037899648586,-0.004258614749324272,0.0077403752537256315,0.00119708423676115,-0.01567980367680021,0.002146123886374352,-0.010418003634178876,-0.004642640858168897,0.005135370319959283,-0.011436790662225993,-0.0025036166591917266,0.011527129073587281,-0.010749157784450784,-0.005260834409814969,-0.010860841088578238,0.00030834212467010635,0.012132590565734472,0.005781448232244562,0.0073717080672193736,-0.0030642219886061676,-0.0023657110362731108,-0.0011432267203331506,0.0033151677489081655,0.004056253493911901,0.001226830049921137,2.3983225974113544e-05,-0.0006095050684866165,-0.0039211941458998055,-0.00036966482534199485,-0.007806137561878635,0.008023936474542089,0.004909774451577399,0.003351966842739427,0.040037423973195166,0.007504604074816651,0.7590252874215846,-0.00250276002815817,-0.007861905679456636,-0.014596592648687044,-0.04826878560988927,0.02196140824217043,0.06696554151048494,-0.0082750134343706,0.03779267754871703,0.0792968845552197,-0.010294723699088832,-0.0007387520675014815,0.31780374022922275,0.002017952146193735,0.009506277699486372,0.031508924996542745,0.8575640740361025,0.5766900141840482
3350-NUSVR--nu=0.75-C=0.1,0.011034321948075616,-0.001159333070130504,0.01390571922409592,-0.014955898955325696,-0.011446763163649556,-0.008568716278409695,-0.0011642622099765545,0.0005923984622789361,0.006920642426229667,-0.013203191569630332,-0.008395039258825367,-0.0006583855793570494,-0.004847283872668511,0.008636827964023416,0.0026487075299269705,-0.015440639429788615,0.0008771933044174653,-0.012591361505559874,-0.0024842097921692705,0.00543200188834304,-0.008017527398453688,-0.002829362674711901,0.009917468362639115,-0.010343837509207116,-0.003507426375186966,-0.009554289313863306,0.0015219541967151223,0.015541322261468538,0.004765599981472472,0.005423127461813577,-0.0030905945083839056,-0.0032672375833544924,-0.0005639966639246279,0.005035313850349599,0.005342515995128317,0.0013030785727682047,0.0008304903340942026,-0.0015303910966225354,-0.004097974997893439,-0.0008161836453710047,-0.005052127242647093,0.0024282249903897065,0.009203518360224436,0.002045984664852104,0.048872565095777525,0.007335825437360128,0.759327750894131,0.0017997970530662117,-0.014123598936651638,-0.013876206272329588,-0.05293365352067293,0.020493959379199185,0.06290560169378687,-0.004060761706998254,0.037955210629939534,0.08253098049421964,-0.012057799287489878,0.0008072025562822051,0.3147661662734748,0.0038324032049703548,0.01676595539502511,0.037207127130886836,0.8548051657696076,0.582000237254206
3350-NUSVR--nu=0.05-C=0.5,0.02152211092760667,-0.010801516698750624,0.01620582339129495,-0.04426963080921001,-0.013628192112562942,0.0008673816157655501,0.00038192028380354404,-0.00140053585946176,0.004604367569211121,-0.027098966275125314,-0.0031838783662084535,0.0031115107115114726,-0.0061401725358131015,0.004315226405091688,-0.00260909993961278,-0.007128498039074671,0.011388581711029744,-0.015076847324202447,-0.010252851039016964,0.0003853580481873453,-0.0038114861456821497,-0.016524290467076944,0.008515024887746914,-0.006285912498244062,-0.002715078768005086,-0.020091411786575808,0.00853824231277922,0.008074331017665415,0.004966818103181891,0.008096065092534799,-0.0018029386689170854,0.009634640222641655,-0.00984243429472001,0.0018211182826933237,0.007634301500118124,0.0010606641798534266,-0.003114195709776252,-0.01160889501048673,-0.000182329533761183,-0.003369440796283346,-0.008549992198674805,-0.0051404572229071105,0.002040359297244887,0.007235046796711629,0.0406643202743627,0.00017009437705606256,0.760171389990884,-0.02029833996157482,-0.052540097792609874,0.004075648835329376,-0.01750334405372056,0.008235282775188507,0.06951161959197716,-0.0024112073487498886,0.01953462816064408,0.03796056098345313,-0.01434264799075294,0.005457083011064404,0.2713195376856028,0.01631239625491293,0.010219548875535375,0.023668793205686225,0.8553983742840854,0.5717451647749127
3350-NUSVR--nu=0.1-C=0.5,0.020173733071247493,-0.007349357863469186,0.016401402057232617,-0.03465908478854206,-0.0058544101681362315,-0.0020316499094071285,0.005742194029933253,-0.00858647648251655,0.0022102095401949073,-0.017181831320356784,-0.007923761105126804,-0.0008934388935940493,-0.013645556942107607,0.008836638164465005,-0.0006480651999897103,-0.010564086375236065,0.008485227091492603,-0.009594223081902276,0.0004437028210411559,-0.002687541628015988,0.00379737714441028,-0.009702231850125701,0.015307779077674121,-0.012896796520651524,-0.010422482955840834,-0.015722475815004522,0.0036955033541240107,0.010163900346957883,0.007350931070748551,0.001712375971493825,-0.0059488003391565125,0.008145795971639988,-0.005886761394879189,-0.0007803401150938624,0.011891062287793644,-0.0032670145538419085,-0.0014796831656778038,-0.005767382695950517,-0.0032348870329038104,-0.0013375546050591325,-0.010146142198575264,-0.011287915991104215,0.004707822288694943,0.0007472727800684476,0.029948540973145865,0.009701903141014677,0.7603948518062846,-0.017859598494447234,-0.016192350162455883,-0.0017795701471233633,-0.03460590289171016,0.012818783418467525,0.06489602553831592,-0.010256815331013802,0.024436970747525294,0.04831333771391949,-0.0116426578392747,0.002351593033399945,0.28884121618216985,0.0039032509121178227,0.008317647152741088,0.02627134328175036,0.8581539119109072,0.5694492920166554
