"","tmmEPOApril","libsize"
"SRR8492548",1.44681160498793,2841564
"SRR8492550",1.40556666372639,6834508
"SRR8492552",1.18462230955463,4136162
"SRR8492555",1.35489696658863,9592636
"SRR8492551",0.909138016376931,3274798
"SRR8492553",1.00479855219456,3207911
"SRR8492554",0.910031241432989,3656108
"SRR8492643",1.06892584802356,3874920
"SRR8492827",0.986075433975509,2906677
"SRR8492545",0.64707957293221,1684872
"SRR8492641",1.02074550841547,4149136
"SRR8492644",1.07339351969639,5120283
"SRR8492642",0.760999365807757,2983772
"SRR8492645",0.657217318982578,1987914
"SRR8492646",0.888595318999557,1820903
"SRR8492649",0.737467255546272,2051302
"SRR8492647",0.941512291117074,3893550
"SRR8492650",1.11459195107303,5071705
"SRR8492648",1.02310365950472,4118528
"SRR8492618",1.02177717089159,5317963
"SRR8492625",1.06628620370052,4392709
"SRR8492624",1.07158649818853,6059914
"SRR8492722",1.11888261652984,4862656
"SRR8492620",1.11230563017929,2549931
"SRR8492622",1.32507482669877,4638910
"SRR8492619",1.24736712723128,5592104
"SRR8492621",1.12922472425282,2526866
"SRR8492623",1.27887970327413,8150399
"SRR8492627",1.29613613323643,8765019
"SRR8492546",0.900586183393119,2749742
"SRR8492723",1.14413309998728,1842477
"SRR8492727",1.30684579428845,3970817
"SRR8492660",1.20580055200725,2825481
"SRR8492673",1.07150760030259,4481951
"SRR8492692",0.921932082896524,2999871
"SRR8492743",1.38290775564807,4606584
"SRR8492789",1.41377471904229,3070268
"SRR8492788",1.30569939703674,2731189
"SRR8492792",1.14629416011962,3786782
"SRR8492672",1.29198079701736,2387834
"SRR8492674",1.35315774963475,4152864
"SRR8492586",1.37842559355307,5490445
"SRR8492587",1.30399379343535,3293168
"SRR8492585",1.19060069898877,1266202
"SRR8492583",1.28128908351831,5334915
"SRR8492584",1.23594487482821,4448999
"SRR8492582",1.30916731999591,5016833
"SRR8492580",1.27945441960787,7000540
"SRR8492581",1.28739177707363,8757305
"SRR8492589",1.32164816234101,4137251
"SRR8492549",1.03753484367563,1781899
"SRR8492721",0.787400182179677,2694160
"SRR8492730",0.484483033791233,1908614
"SRR8492574",0.630659695170883,2191179
"SRR8492614",0.354901443679856,3417139
"SRR8492719",0.405025769171027,1877812
"SRR8492689",0.516993503973029,2180704
"SRR8492609",0.701684903760391,1945631
"SRR8492613",0.52436013697887,2078360
"SRR8492728",0.576342420700965,2376920
