,tau-brain,gini-brain,RNA tissue specificity,RNA tissue distribution
ENSG00000149452,0.9820998544808319,0.9455077344251566,Group enriched,Detected in some
ENSG00000138136,0.9880000000000001,0.961074275497281,Group enriched,Detected in some
ENSG00000131095,0.9389850105297932,0.827765980756898,Tissue enriched,Detected in many
ENSG00000164438,0.9973615703933019,0.9656251863335521,Tissue enriched,Detected in single
ENSG00000171532,0.9615041143075853,0.7876234747239981,Tissue enriched,Detected in single
ENSG00000164600,0.9525340190721089,0.7906473262610956,Tissue enriched,Detected in single
ENSG00000130287,0.9663600623099181,0.7560558597766565,Tissue enriched,Detected in many
ENSG00000204655,0.9236410698878343,0.7705015539599185,Tissue enriched,Detected in many
ENSG00000121905,0.9682471838850667,0.8176199977829508,Tissue enriched,Detected in many
ENSG00000101200,0.9966557619825078,0.9606892036662302,Tissue enriched,Detected in some
ENSG00000125492,0.9858550345447855,0.9453512976637735,Tissue enriched,Detected in single
ENSG00000186895,0.999012443215485,0.9802052785923754,Tissue enriched,Detected in single
ENSG00000197971,0.9472673595276383,0.8295415959252974,Tissue enriched,Detected in many
ENSG00000152595,0.9832710190777489,0.8520377199943983,Tissue enriched,Detected in single
ENSG00000197430,0.9151398264223716,0.7508261211644376,Tissue enriched,Detected in many
ENSG00000235718,0.9866703451480345,0.9303071371164726,Group enriched,Detected in some
ENSG00000126861,0.9313707552693202,0.7282152203641614,Tissue enriched,Detected in many
ENSG00000110887,0.9534753076962361,0.8821611855886049,Group enriched,Detected in some
ENSG00000132702,0.9400676362202581,0.7857142857142858,Tissue enriched,Detected in many
ENSG00000176884,0.9449516603614967,0.7401779545851397,Tissue enriched,Detected in many
ENSG00000164076,0.9534740507941895,0.7735348872655217,Tissue enriched,Detected in many
ENSG00000214978,0.9651639344262297,0.928817204301075,Group enriched,Detected in some
ENSG00000168314,0.9346624705753319,0.8068595423863709,Tissue enriched,Detected in many
ENSG00000161610,0.9961328588374856,0.9397731259501818,Tissue enriched,Detected in some
ENSG00000213029,0.9941935483870968,0.9598039215686274,Tissue enriched,Detected in single
ENSG00000180176,0.966800824580347,0.8939034045922409,Group enriched,Detected in some
ENSG00000105954,0.9820534943917171,0.9597179445615176,Group enriched,Detected in some
ENSG00000147588,0.9252837326607815,0.7845230122409497,Tissue enriched,Detected in many
ENSG00000125462,0.9490721027606268,0.7814727598094016,Tissue enriched,Detected in many
ENSG00000105605,0.9330400192864027,0.7105520957245823,Tissue enriched,Detected in many
ENSG00000124493,0.9939815412417715,0.8946910053647317,Tissue enriched,Detected in some
ENSG00000142538,0.9726829268292683,0.9322821912270063,Group enriched,Detected in some
ENSG00000162728,0.9221626733921818,0.6878824507063537,Tissue enriched,Detected in many
ENSG00000183379,0.9847820154908588,0.8532536520584331,Group enriched,Detected in some
ENSG00000165566,0.9027034800115047,0.7443142407155039,Tissue enriched,Detected in many
ENSG00000123560,0.9326758511435808,0.8281833974861192,Tissue enriched,Detected in many
ENSG00000136535,0.9640189769364468,0.78609865470852,Tissue enriched,Detected in some
ENSG00000204278,0.8914058618976648,0.7227806554182266,Tissue enriched,Detected in many
ENSG00000187730,0.9695308083663087,0.7560021790731155,Tissue enriched,Detected in many
ENSG00000172020,0.9465329165997504,0.7614015572858732,Tissue enriched,Detected in many
ENSG00000148826,0.8979999999999992,0.752257885850582,Group enriched,Detected in many
ENSG00000174521,0.9337075190800509,0.7445925016022217,Tissue enriched,Detected in many
ENSG00000110148,0.9588982850663766,0.8120576775253798,Group enriched,Detected in some
ENSG00000198822,0.9302740442284628,0.7074999999999998,Tissue enriched,Detected in many
ENSG00000178394,0.9595882577201679,0.8375189434942629,Group enriched,Detected in some
ENSG00000110427,0.9670094695041238,0.7846358496840702,Group enriched,Detected in some
ENSG00000074317,0.9498467675244449,0.7723012167515562,Tissue enriched,Detected in many
ENSG00000134343,0.9749265155550292,0.8354562475062153,Group enriched,Detected in some
ENSG00000145863,0.9983674579960546,0.9777541083384054,Tissue enriched,Detected in some
ENSG00000184486,0.918501170960187,0.6685638215774037,Tissue enriched,Detected in some
ENSG00000022355,0.9523862809824878,0.7584310850439888,Tissue enriched,Detected in many
ENSG00000101180,0.9566440888714371,0.7331731618556339,Tissue enriched,Detected in some
ENSG00000168135,0.9721235521235518,0.886021505376344,Group enriched,Detected in some
ENSG00000132639,0.9589451974883909,0.8071802371317223,Tissue enriched,Detected in many
ENSG00000070808,0.9440885897296712,0.8101119552732459,Group enriched,Detected in many
ENSG00000175874,0.9660421545667452,0.7398349587396849,Tissue enriched,Detected in some
ENSG00000186297,0.9547154522221526,0.7903225806451615,Tissue enriched,Detected in some
ENSG00000213401,0.97906379616828,0.908431472947602,Group enriched,Detected in some
ENSG00000198914,0.9284558823529414,0.8625246082368692,Group enriched,Detected in some
ENSG00000259803,0.9744807959169275,0.91452155968285,Group enriched,Detected in some
ENSG00000147246,0.9662722107624946,0.7975660882729709,Tissue enriched,Detected in some
ENSG00000130540,0.956821754486251,0.7388622344071278,Tissue enriched,Detected in many
ENSG00000157152,0.971453201970443,0.816012962342161,Tissue enriched,Detected in many
ENSG00000213760,0.9210474678463763,0.7095657684299466,Tissue enriched,Detected in many
ENSG00000146360,0.9860752169720352,0.8029221045719446,Tissue enriched,Detected in some
ENSG00000273079,0.9396811138558273,0.725390949610939,Tissue enriched,Detected in some
ENSG00000166159,0.9306566143596032,0.6460848340919585,Tissue enriched,Detected in single
ENSG00000116147,0.9318683873968144,0.6866708080046142,Tissue enriched,Detected in many
ENSG00000006116,0.9681295183789831,0.8105349122090648,Tissue enriched,Detected in some
ENSG00000127585,0.9427833563247896,0.7519207923576015,Tissue enriched,Detected in many
ENSG00000170075,0.8858047690014899,0.6564124982743547,Tissue enriched,Detected in many
ENSG00000155980,0.9492229082393018,0.7605467795897733,Tissue enriched,Detected in many
ENSG00000122584,0.9459534920824861,0.7437803675154353,Group enriched,Detected in some
ENSG00000188011,0.9435743559718969,0.7849084130329065,Tissue enriched,Detected in some
ENSG00000230778,0.9837529274004687,0.789237668161435,Tissue enriched,Detected in some
ENSG00000162975,0.9455773246257059,0.6969482332942079,Tissue enriched,Detected in many
ENSG00000165588,0.9822229675904579,0.8877894320205819,Group enriched,Detected in some
ENSG00000101327,0.9736942432329398,0.8501196384260903,Tissue enriched,Detected in some
ENSG00000015592,0.9440738076932617,0.7691601398291958,Tissue enriched,Detected in many
ENSG00000008056,0.9572479669549505,0.7426606215063152,Tissue enriched,Detected in many
ENSG00000177108,0.9445506692160608,0.6961943365422507,Tissue enriched,Detected in many
ENSG00000152977,0.9796100805868514,0.8111784915492632,Tissue enriched,Detected in some
ENSG00000165370,0.971111111111111,0.9090909090909092,Tissue enriched,Detected in single
ENSG00000110786,0.9575878220140516,0.736828920491772,Tissue enriched,Detected in many
ENSG00000104888,0.962852459016393,0.8334650257787959,Tissue enriched,Detected in many
ENSG00000165643,0.9570720548989711,0.8183514387594333,Group enriched,Detected in some
ENSG00000173714,0.9830913874629723,0.921368739975049,Group enriched,Detected in some
ENSG00000043355,0.9760603695029925,0.7808532778355879,Tissue enriched,Detected in some
ENSG00000132692,0.9514904163161367,0.7392543748128311,Tissue enriched,Detected in many
ENSG00000104327,0.9577051869982119,0.7840247183702431,Group enriched,Detected in many
ENSG00000152910,0.884446221511396,0.737971108938851,Tissue enriched,Detected in some
ENSG00000152034,0.9644625371327983,0.7256697648988519,Group enriched,Detected in some
ENSG00000154146,0.9563404374031846,0.7928424954649418,Tissue enriched,Detected in many
ENSG00000144227,0.9531717747683539,0.7898134341928209,Group enriched,Detected in some
ENSG00000240764,0.9532955696439956,0.6994553335123321,Tissue enriched,Detected in many
ENSG00000198883,0.9304796599878568,0.7663000113986096,Group enriched,Detected in some
ENSG00000196767,0.9698612862547294,0.743581898184573,Tissue enriched,Detected in some
ENSG00000153820,0.9686475409836067,0.8165236051502149,Group enriched,Detected in some
ENSG00000099365,0.9298542524438606,0.7009396832570662,Tissue enriched,Detected in many
ENSG00000205116,0.8745390732595856,0.7403645070365616,Tissue enriched,Detected in many
ENSG00000284849,0.9701933404940928,0.714405732641463,Tissue enriched,Detected in some
ENSG00000185742,0.947977465360605,0.7136977122618935,Tissue enriched,Detected in some
ENSG00000172508,0.9221357680152295,0.74876660341556,Group enriched,Detected in many
ENSG00000101958,0.9049180327868849,0.7357685009487667,Group enriched,Detected in some
ENSG00000146005,0.9149981228882492,0.7038896796090417,Tissue enriched,Detected in many
ENSG00000091664,0.9796607952563647,0.8210682492581602,Tissue enriched,Detected in some
ENSG00000142319,0.9757485435577836,0.9145967741935481,Tissue enriched,Detected in some
ENSG00000139287,0.9918032786885245,0.8894707443094538,Tissue enriched,Detected in some
ENSG00000174963,0.9914892280635639,0.9284261481511613,Tissue enriched,Detected in some
ENSG00000139899,0.9825624883126594,0.6759409221259711,Tissue enriched,Detected in many
ENSG00000261210,0.9813222252082774,0.8615127919911012,Group enriched,Detected in some
ENSG00000168993,0.94355213380235,0.6766331104416192,Tissue enriched,Detected in many
ENSG00000196361,0.9246450118837225,0.7268349385586181,Tissue enriched,Detected in many
ENSG00000221946,0.9248831347881344,0.7118264382479804,Group enriched,Detected in many
ENSG00000239961,0.9558003760266517,0.7488278574815179,Group enriched,Detected in some
ENSG00000151615,0.9706643658326144,0.9351795496043822,Group enriched,Detected in some
ENSG00000079841,0.971178315677339,0.7795980408714744,Tissue enriched,Detected in many
ENSG00000161681,0.9233595077375208,0.7096933414005029,Tissue enriched,Detected in many
ENSG00000148482,0.9240010851451383,0.7287562242909722,Group enriched,Detected in many
ENSG00000164853,0.9950966042154559,0.9155304289990023,Tissue enriched,Detected in some
ENSG00000187135,0.9308903889424622,0.7001576521950037,Tissue enriched,Detected in many
ENSG00000156925,0.9816950690079703,0.7750218366916661,Tissue enriched,Detected in some
ENSG00000115266,0.9285753711983218,0.676466413900773,Tissue enriched,Detected in many
ENSG00000156219,0.9540521819441238,0.8073476702508962,Group enriched,Detected in many
ENSG00000204347,0.9377589623491263,0.6874145512323093,Tissue enriched,Detected in some
ENSG00000165985,0.928945581530701,0.729903565741685,Tissue enriched,Detected in many
ENSG00000181215,0.9653658536585369,0.8095238095238098,Tissue enriched,Detected in single
ENSG00000163888,0.8702649488507469,0.7074191658635223,Group enriched,Detected in many
ENSG00000167971,0.8970556514236411,0.655255601067009,Tissue enriched,Detected in many
ENSG00000136698,0.9433928571428573,0.8838155308743545,Group enriched,Detected in some
ENSG00000181418,0.9545737260651294,0.8345658549024606,Group enriched,Detected in some
ENSG00000011332,0.9379020543681265,0.6740187194848943,Tissue enriched,Detected in many
ENSG00000184845,0.9748158707531484,0.7941566820276496,Tissue enriched,Detected in some
ENSG00000145194,0.9005087620124369,0.7156097560975612,Group enriched,Detected in some
ENSG00000184599,0.9742857142857146,0.8869922969187674,Group enriched,Detected in some
ENSG00000136928,0.9470246057174858,0.7015478084767832,Tissue enriched,Detected in many
ENSG00000203737,0.9834309133489462,0.8248152180140949,Tissue enriched,Detected in some
ENSG00000010282,0.9533048718790774,0.7939849692304901,Group enriched,Detected in many
ENSG00000129159,0.9598299939283546,0.7038393883571796,Tissue enriched,Detected in many
ENSG00000105642,0.9292307692307696,0.7018369175627239,Tissue enriched,Detected in many
ENSG00000167889,0.9469109153491629,0.6371035454077625,Tissue enriched,Detected in many
ENSG00000136297,0.9397487758143501,0.6943010752688175,Group enriched,Detected in some
ENSG00000087250,0.9224774405250205,0.7916321190271074,Tissue enriched,Detected in many
ENSG00000020129,0.930063733342422,0.5882628868824,Tissue enriched,Detected in many
ENSG00000166342,0.9544816728840824,0.6952424258635137,Tissue enriched,Detected in many
ENSG00000169006,0.886914695199765,0.7246203135317566,Tissue enriched,Detected in many
ENSG00000115155,0.969415218987032,0.7658770161290327,Group enriched,Detected in some
ENSG00000160781,0.9090466637385596,0.7592024485165856,Tissue enriched,Detected in many
ENSG00000182698,0.9726966356314611,0.7421674045962472,Tissue enriched,Detected in some
ENSG00000063015,0.9421966725939634,0.7143053819922478,Tissue enriched,Detected in many
ENSG00000188991,0.9147368421052631,0.868235294117647,Group enriched,Detected in some
