,tau-testis,gini-testis,RNA tissue specificity,RNA tissue distribution
ENSG00000146047,0.9999548463181155,0.9836885421064427,Tissue enriched,Detected in single
ENSG00000151475,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000164508,0.9999312568064807,0.9835590216235379,Tissue enriched,Detected in single
ENSG00000123171,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000185264,0.9999666121331509,0.9838054025701548,Tissue enriched,Detected in single
ENSG00000148156,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000104755,0.9999676018920495,0.9838073423681364,Tissue enriched,Detected in single
ENSG00000198033,0.9998981773750129,0.9833930704898448,Tissue enriched,Detected in single
ENSG00000180424,0.991269893105175,0.9725778498350757,Group enriched,Detected in some
ENSG00000120563,0.9999584976136129,0.9837895079830561,Tissue enriched,Detected in single
ENSG00000167098,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000176256,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000164113,0.9999249155299712,0.983576821256986,Tissue enriched,Detected in single
ENSG00000046774,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000134249,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000166049,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000112273,0.999915584744475,0.98363960867266,Tissue enriched,Detected in single
ENSG00000185594,0.9999146174863388,0.9836109718275854,Tissue enriched,Detected in single
ENSG00000179407,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000141200,0.9999525286410533,0.983777826073458,Tissue enriched,Detected in single
ENSG00000163098,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000205108,0.9999325372731567,0.9837387625594922,Tissue enriched,Detected in single
ENSG00000105428,0.9999454763549127,0.983764034931385,Tissue enriched,Detected in single
ENSG00000185056,0.9997427562498539,0.981968104385647,Tissue enriched,Detected in single
ENSG00000173389,0.9999308293560214,0.9837354296557328,Tissue enriched,Detected in single
ENSG00000224902,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000233803,0.999857142857143,0.9799749687108887,Tissue enriched,Detected in single
ENSG00000172073,0.9999397299903569,0.9837528063334511,Tissue enriched,Detected in single
ENSG00000187806,0.9999302406696896,0.983734281027884,Tissue enriched,Detected in single
ENSG00000196406,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000170748,0.9999072506782295,0.9836441177805,Tissue enriched,Detected in single
ENSG00000157060,0.9998120018047827,0.983066344817497,Tissue enriched,Detected in single
ENSG00000169059,0.9998611111111112,0.9799864773495606,Tissue enriched,Detected in single
ENSG00000168148,0.9989963198394112,0.9648375817730654,Tissue enriched,Detected in single
ENSG00000198445,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000214732,0.999895716013849,0.9836262795155173,Tissue enriched,Detected in single
ENSG00000177143,0.9999252294521188,0.9837245066090585,Tissue enriched,Detected in single
ENSG00000232113,1.0,0.9824561403508771,Tissue enriched,Detected in single
ENSG00000221900,0.999909177603197,0.9836932373589262,Tissue enriched,Detected in single
ENSG00000167139,0.9999186429646504,0.983711668657905,Tissue enriched,Detected in single
ENSG00000152670,0.999592878080556,0.9800667048830058,Tissue enriched,Detected in single
ENSG00000205442,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000156269,0.9823298095092182,0.9254969289548771,Group enriched,Detected in some
ENSG00000185662,0.9999074074074075,0.9802114394144756,Tissue enriched,Detected in single
ENSG00000178279,0.9999154977184385,0.9837055417700578,Tissue enriched,Detected in single
ENSG00000149609,0.9998465033462272,0.9834520318391287,Tissue enriched,Detected in single
ENSG00000164645,0.9998748592166188,0.9835043988269792,Tissue enriched,Detected in single
ENSG00000163424,0.9996466930469191,0.9817612631005854,Tissue enriched,Detected in single
ENSG00000147378,0.9994963362524171,0.9770471464019852,Tissue enriched,Detected in single
ENSG00000178395,0.9998443660510479,0.9834664779047426,Tissue enriched,Detected in single
ENSG00000162771,0.9995406390858719,0.9804088586030666,Tissue enriched,Detected in single
ENSG00000135248,0.9993422384132765,0.9777926677515081,Tissue enriched,Detected in single
ENSG00000163114,0.9998916136024929,0.98365909211293,Tissue enriched,Detected in single
ENSG00000187003,0.999678953388045,0.9823219610424818,Tissue enriched,Detected in single
ENSG00000102021,0.9999226724404578,0.9837195214296526,Tissue enriched,Detected in single
ENSG00000054796,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000187833,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000169717,0.999891073470944,0.9836580432236772,Tissue enriched,Detected in single
ENSG00000177992,0.9999118632117047,0.9836984647231324,Tissue enriched,Detected in single
ENSG00000153684,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000214929,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000234414,0.9998657718120805,0.9801307189542483,Tissue enriched,Detected in single
ENSG00000166069,0.9996639157548827,0.9823588709677418,Tissue enriched,Detected in single
ENSG00000175520,0.999830217510234,0.9833933426408994,Tissue enriched,Detected in single
