,Adipocytes-gini,Atrial_Cardiomyocyte-gini,Mesothelial-gini,Pericytes-gini,Ventricular_Cardiomyocyte-gini
ENSG00000163710,0.7063367146983135,,,,
ENSG00000099194,0.6580596447813252,,,,
ENSG00000164270,,0.7882425524413892,,,
ENSG00000140506,,0.8966666666666667,,,
ENSG00000197616,,0.9720034523681087,,,
ENSG00000198336,,0.9777257478637116,,,
ENSG00000120937,,0.9693974606308045,,,
ENSG00000165899,,0.7659423536439669,,,
ENSG00000089225,,0.8778308774724546,,,
ENSG00000179914,,,0.8669423860586853,,
ENSG00000118849,,,0.676943123416696,,
ENSG00000113296,,,,0.6908557629635961,
ENSG00000089101,,,,,0.7593299199875407
ENSG00000187715,,,,,0.6784818891621502
ENSG00000163827,,,,,0.7547478622002395
ENSG00000092054,,,,,0.9569523579168826
ENSG00000150722,,,,,0.7757723160948968
ENSG00000140986,,,,,0.9346487879366294
